balloonist|src/roles/new_engine/balloonist.ability.ts|169|allowDead: false|allowDead: true
mathematician|src/roles/new_engine/mathematician.ability.ts|149|allowDead: false|allowDead: true
clockmaker|src/roles/new_engine/clockmaker.ability.ts|148|allowDead: false|allowDead: true
seamstress|src/roles/new_engine/seamstress.ability.ts|168|allowDead: true|allowDead: false
town_crier|src/roles/new_engine/town_crier.ability.ts|103|allowDead: false|allowDead: true
juggler|src/roles/new_engine/juggler.ability.ts|103|allowDead: false|allowDead: true
philosopher|src/roles/new_engine/philosopher.ability.ts|204|allowDead: false|allowDead: true
artist|src/roles/new_engine/artist.ability.ts|111|allowDead: false|allowDead: true
courtier|src/roles/new_engine/courtier.ability.ts|166|allowDead: false|allowDead: true
choir_boy|src/roles/new_engine/choir_boy.ability.ts|142|allowDead: true|allowDead: false
mutant|src/roles/new_engine/mutant.ability.ts|101|allowDead: false|allowDead: true
barber|src/roles/new_engine/barber.ability.ts|95|allowDead: false|allowDead: true
fool|src/roles/new_engine/fool.ability.ts|95|allowDead: false|allowDead: true
saint|src/roles/new_engine/saint.ability.ts|256|allowDead: false|allowDead: true
witch|src/roles/new_engine/witch.ability.ts|107|allowDead: false|allowDead: true
godfather|src/roles/new_engine/godfather.ability.ts|115|allowDead: false|allowDead: true
assassin|src/roles/new_engine/assassin.ability.ts|133|allowDead: false|allowDead: true
devils_advocate|src/roles/new_engine/devils_advocate.ability.ts|111|allowDead: false|allowDead: true
no_dashii|src/roles/new_engine/no_dashii.ability.ts|199|allowDead: false|allowDead: true
fang_gu|src/roles/new_engine/fang_gu.ability.ts|217|allowDead: false|allowDead: true
pukka|src/roles/new_engine/pukka.ability.ts|145|allowDead: false|allowDead: true
washerwoman|src/roles/new_engine/washerwoman.ability.ts|572|allowDead: false|allowDead: true
investigator|src/roles/new_engine/investigator.ability.ts|620|allowDead: false|allowDead: true
chef|src/roles/new_engine/chef.ability.ts|694|allowDead: false|allowDead: true
librarian|src/roles/new_engine/librarian.ability.ts|592|allowDead: false|allowDead: true
empath|src/roles/new_engine/empath.ability.ts|509|allowDead: false|allowDead: true
fortune_teller|src/roles/new_engine/fortune_teller.ability.ts|655|allowDead: true|allowDead: false
monk|src/roles/new_engine/monk.ability.ts|475|allowDead: false|allowDead: true
ravenkeeper|src/roles/new_engine/ravenkeeper.ability.ts|441|allowDead: true|allowDead: false
butler|src/roles/new_engine/butler.ability.ts|482|allowDead: true|allowDead: false
drunk|src/roles/new_engine/drunk.ability.ts|434|allowDead: false|allowDead: true
recluse|src/roles/new_engine/recluse.ability.ts|331|allowDead: false|allowDead: true
poisoner|src/roles/new_engine/poisoner.ability.ts|430|allowDead: false|allowDead: true
scarlet_woman|src/roles/new_engine/scarlet_woman.ability.ts|409|allowDead: false|allowDead: true
baron|src/roles/new_engine/baron.ability.ts|316|allowDead: false|allowDead: true
imp|src/roles/new_engine/imp.ability.ts|744|allowDead: true|allowDead: false
zombuul|src/roles/new_engine/zombuul.ability.ts|180|allowDead: false|allowDead: true
